Issue Key,Issue Type,Summary,Epic Link,Story Points,Priority,Component,Description
ETD-101,Story,Template Builder UI Foundation,ETD-EPIC-001,13,High,Template Builder,As an Admin I can access a Template Builder workspace with drag-and-drop interface component panel canvas and properties panel for building tender templates
ETD-102,Story,Block Library System,ETD-EPIC-001,8,High,Template Builder,As an Admin I have access to predefined blocks (General Information Project Details Requisition & Lots Scope & Requirements Timeline Submission Requirements Evaluation Team) that I can add to templates
ETD-103,Story,Template Data Model & API,ETD-EPIC-001,13,High,Template Builder,As a System I have a comprehensive data model and REST API for template CRUD operations including block configurations and field definitions
ETD-104,Story,Template Library Management,ETD-EPIC-001,8,High,Template Builder,As an Admin I can view search filter create edit duplicate and delete templates in a library view
ETD-201,Story,General Information Block Configuration,ETD-EPIC-001,21,High,Template Builder,As an Admin I can configure the General Information block with fields for title reference sourcing/solicitation type requirement type description modalities and related metadata with conditional field visibility
ETD-202,Story,Project & Tender Details Configuration,ETD-EPIC-001,21,High,Template Builder,As an Admin I can configure Project & Tender Details block including project information funding sources and comprehensive tender particulars (scope requirements commercial conditions payment terms securities etc)
ETD-203,Story,Requisition & Lots Configuration,ETD-EPIC-001,13,High,Template Builder,As an Admin I can configure how requisition lines from ERP are displayed and how lots can be created and managed by tender authors
ETD-204,Story,Scope & Requirements Configuration,ETD-EPIC-001,13,High,Template Builder,As an Admin I can configure requirements definition including product specifications (attribute-based or description-based) service descriptions and delivery requirements
ETD-205,Story,Submission Requirements Configuration,ETD-EPIC-001,13,High,Template Builder,As an Admin I can configure bid response structure including submission details and multi-level supplier questions (per bid per UNSPSC per attribute per service line per delivery requirement)
ETD-206,Story,Evaluation Block Configuration,ETD-EPIC-001,8,High,Template Builder,As an Admin I can configure evaluation methods and define evaluation criteria that can be applied to entire tender or specific UNSPSC codes
ETD-207,Story,Timeline & Team Blocks Configuration,ETD-EPIC-001,8,High,Template Builder,As an Admin I can configure deadline fields and team member roles with integration to organizational directory
ETD-301,Story,Field Configuration System,ETD-EPIC-001,13,High,Template Builder,As an Admin I can configure individual fields including field type label required/optional status default values validation rules help text and placeholder text
ETD-302,Story,Conditional Field Logic,ETD-EPIC-001,13,High,Template Builder,As an Admin I can define conditional visibility rules where fields appear or hide based on values of other fields
ETD-303,Story,Field Types Support,ETD-EPIC-001,8,Medium,Template Builder,As an Admin I can use various field types: text textarea number date datetime dropdown multi-select checkbox radio file upload search/autocomplete rich text editor
ETD-304,Story,Custom Field Addition,ETD-EPIC-001,8,Medium,Template Builder,As an Admin I can add custom fields to blocks beyond the predefined fields to meet specific organizational needs
ETD-401,Story,Template Versioning,ETD-EPIC-001,8,High,Template Builder,As an Admin I can save templates with automatic versioning view version history and revert to previous versions
ETD-402,Story,Template Publishing Workflow,ETD-EPIC-001,8,High,Template Builder,As an Admin I can manage template status (Draft/Published) to control availability for tender authors
ETD-403,Story,Template Export/Import,ETD-EPIC-001,8,Medium,Template Builder,As an Admin I can export templates as JSON and import them for backup sharing or migration across environments
ETD-404,Story,Template Preview,ETD-EPIC-001,5,Medium,Template Builder,As an Admin I can preview how a template will appear to tender authors before publishing
ETD-501,Story,Tender Creation Wizard,ETD-EPIC-002,13,High,Tender Authoring,As a Procurement Officer I can initiate tender creation through a guided wizard that helps me select sourcing method requirement type and appropriate template
ETD-502,Story,Template Selection & Suggestion,ETD-EPIC-002,8,Medium,Tender Authoring,As a Procurement Officer the system suggests appropriate templates based on my selections and I can browse/search all available templates
ETD-503,Story,Tender Authoring Workspace,ETD-EPIC-002,13,High,Tender Authoring,As a Tender Author I have a workspace with progress tracking block navigation content area and supplementary panels for efficient tender creation
ETD-504,Story,Tender Data Model & API,ETD-EPIC-002,13,High,Tender Authoring,As a System I have a comprehensive data model and REST API for tender operations including all block data and supporting CRUD operations
ETD-505,Story,Auto-Save & Draft Management,ETD-EPIC-002,8,High,Tender Authoring,As a Tender Author my work is automatically saved at regular intervals and I can return to drafts without losing progress
ETD-601,Story,General Information Data Entry,ETD-EPIC-002,13,High,Tender Authoring,As a Tender Author I can complete all General Information fields with appropriate input types validation and real-time conditional field display based on template configuration
ETD-602,Story,Project & Tender Details Data Entry,ETD-EPIC-002,21,High,Tender Authoring,As a Tender Author I can complete Project & Tender Details including project information particulars and all subsections with conditional field logic
ETD-603,Story,Requisition Lines Integration,ETD-EPIC-002,13,High,Tender Authoring,As a Tender Author I can view requisition lines imported from ERP systems with all line item details
ETD-604,Story,Lot Creation & Management,ETD-EPIC-002,13,High,Tender Authoring,As a Tender Author I can create lots assign names add UNSPSC products with quantities and manage lot structure
ETD-605,Story,Product Requirements Definition,ETD-EPIC-002,13,High,Tender Authoring,As a Tender Author I can define product requirements for each UNSPSC code using either structured attributes (name-value pairs) or rich text descriptions and I can bulk import/export via Excel
ETD-606,Story,Additional Requirements Configuration,ETD-EPIC-002,8,Medium,Tender Authoring,As a Tender Author I can define service descriptions delivery requirements and other specific requirements as configured in the template
ETD-607,Story,Bid Response Structure Configuration,ETD-EPIC-002,13,High,Tender Authoring,As a Tender Author I can configure what information suppliers must provide at different levels (per bid per UNSPSC per attribute per service per delivery) with ability to add custom fields
ETD-608,Story,Evaluation Criteria Definition,ETD-EPIC-002,8,High,Tender Authoring,As a Tender Author I can define evaluation criteria including type description evaluation method and whether criteria apply to entire tender or specific UNSPSC codes
ETD-609,Story,Team Assignment,ETD-EPIC-002,8,High,Tender Authoring,As a Tender Author I can search and assign team members to various roles (authors reviewers authorities technical experts evaluation team) from organizational directory
ETD-610,Story,Timeline & Deadlines,ETD-EPIC-002,5,High,Tender Authoring,As a Tender Author I can set key dates including submission deadline clarification deadline and expected award date with validation
ETD-701,Story,Form Library Integration,ETD-EPIC-003,8,High,Tender Authoring,As a Tender Author I can access a form library panel and drag-and-drop forms (including DRiVE sustainability form) into tender sections
ETD-702,Story,Document Upload & Management,ETD-EPIC-003,8,High,Tender Authoring,As a Tender Author I can upload supporting documents with file validation view all uploaded documents and manage document lifecycle
ETD-703,Story,Document Storage System,ETD-EPIC-003,8,High,Tender Authoring,As a System I securely store documents in cloud storage with proper access controls and provide secure download URLs
ETD-801,Story,Tender Validation System,ETD-EPIC-002,13,High,Tender Authoring,As a System I validate tender completeness checking all required fields conditional field requirements and business rule compliance with clear error reporting
ETD-802,Story,Progress Tracking,ETD-EPIC-002,5,High,Tender Authoring,As a Tender Author I can see visual indicators of completion status for each block and overall tender progress
ETD-803,Story,Review & Approval Workflow,ETD-EPIC-002,13,High,Tender Authoring,As a Tender Author I can submit tender for review; as a Reviewer I can review comment and approve/reject; as a Procurement Authority I can publish approved tenders
ETD-804,Story,Tender Status Management,ETD-EPIC-002,8,High,Tender Authoring,As a System I manage tender status transitions (Draft Under Review Approved Published) with appropriate access controls and notifications
ETD-805,Story,Preview Capabilities,ETD-EPIC-002,8,Medium,Tender Authoring,As a Tender Author I can preview how my tender will appear to suppliers including supplier form preview showing what suppliers will need to complete
ETD-901,Story,Tender List & Search,ETD-EPIC-002,8,High,Tender Authoring,As a Procurement Officer I can view all my tenders in a list/grid with search filter (by status date author template) and sort capabilities with pagination
ETD-902,Story,Template List & Search,ETD-EPIC-001,5,High,Template Builder,As an Admin I can view all templates in a list/grid with search filter by status and see template details including blocks and field counts
ETD-1001,Story,Forms Library Database,ETD-EPIC-003,8,High,Content Libraries,As a System I have database structures to store and manage forms library including form metadata versions and content references
ETD-1002,Story,Forms Library Management API,ETD-EPIC-003,8,High,Content Libraries,As a System I have REST APIs to create read update delete list and search forms in the library
ETD-1003,Story,Document Templates Library,ETD-EPIC-003,8,Medium,Content Libraries,As a System I have database and API support for document templates library that can be reused across tenders
ETD-1004,Story,DRiVE Form Integration,ETD-EPIC-003,8,High,Content Libraries,As a System I integrate with DRiVE application to make sustainability forms available in form library and handle form submissions
ETD-1101,Story,oneUNOPS User Search Integration,ETD-EPIC-004,13,High,Integration,As a System I integrate with oneUNOPS (RDAT) to provide user search functionality for team member assignments with auto-complete capabilities
ETD-1102,Story,oneUNOPS Organizational Data Integration,ETD-EPIC-004,13,High,Integration,As a System I integrate with oneUNOPS to fetch organizational data (work packages projects funding sources organizational units)
ETD-1103,Story,ERP Requisition Integration,ETD-EPIC-004,21,High,Integration,As a System I integrate with ERP systems to fetch requisition lines including line items UNSPSC codes quantities amounts and other requisition metadata
ETD-1104,Story,UNSPSC Code Management,ETD-EPIC-004,8,Medium,Integration,As a System I maintain UNSPSC code master data and provide validation and lookup services
ETD-1105,Story,Search Field Component,ETD-EPIC-004,8,High,Integration,As a User I have reusable search field components with auto-complete debounced search and result selection for integrated data sources
ETD-1201,Story,Modern Design System Implementation,ETD-EPIC-004,8,Medium,UI/UX,As a User I experience a modern design system with refined color palette typography shadows gradient buttons smooth transitions and card-based layouts
ETD-1202,Story,Accessibility Compliance,ETD-EPIC-004,13,High,UI/UX,As a User I can access a WCAG AA compliant interface with proper color contrast keyboard navigation screen reader support and visible focus indicators
ETD-1203,Story,Responsive Design,ETD-EPIC-004,8,Medium,UI/UX,As a User I can access the application on different screen sizes with responsive layouts that adapt appropriately
ETD-1301,Story,Authentication & Authorization,ETD-EPIC-004,13,High,Security,As a System I implement secure authentication (OAuth 2.0/SAML) and role-based access control for Admin Procurement Officer Reviewer and Author roles
ETD-1302,Story,Input Validation & Security,ETD-EPIC-004,13,High,Security,As a System I validate and sanitize all user inputs to prevent SQL injection XSS and CSRF attacks
ETD-1303,Story,Data Encryption,ETD-EPIC-004,8,High,Security,As a System I encrypt sensitive data at rest in database and in transit using HTTPS/TLS
ETD-1304,Story,Audit Logging,ETD-EPIC-004,8,High,Security,As a System I log all critical actions (template/tender creation and modifications user authentication data access) for audit and compliance
ETD-1305,Story,Performance Optimization,ETD-EPIC-004,13,Medium,Performance,As a System I optimize performance with code splitting lazy loading database query optimization caching and ensure API response times under 500ms for 95th percentile
ETD-1306,Story,Large File Handling,ETD-EPIC-004,8,Medium,Performance,As a System I handle large file uploads efficiently with chunked upload progress tracking and resumable uploads
ETD-1401,Story,Automated Testing - Frontend,ETD-EPIC-004,13,High,Testing,As a Developer I have comprehensive unit tests for frontend components with 80%+ code coverage
ETD-1402,Story,Automated Testing - Backend,ETD-EPIC-004,13,High,Testing,As a Developer I have unit and integration tests for all API endpoints and business logic with 80%+ code coverage
ETD-1403,Story,End-to-End Testing,ETD-EPIC-004,13,Medium,Testing,As a Developer I have E2E tests for critical user journeys (create template create tender submit for review publish)
ETD-1404,Story,User Acceptance Testing,ETD-EPIC-004,8,High,Testing,As a Product Owner I have conducted UAT with stakeholders covering all user stories and incorporated feedback
ETD-1501,Story,API Documentation,ETD-EPIC-004,5,High,Documentation,As a Developer I have comprehensive API documentation with Swagger/OpenAPI specs request/response examples and authentication details
ETD-1502,Story,Technical Documentation,ETD-EPIC-004,8,Medium,Documentation,As a Developer I have architecture documentation data models developer setup guide and troubleshooting information
ETD-1503,Story,User Documentation,ETD-EPIC-004,8,High,Documentation,As a User I have comprehensive guides for template building and tender authoring with screenshots and step-by-step instructions
ETD-1504,Story,CI/CD Pipeline,ETD-EPIC-004,13,High,DevOps,As a DevOps Engineer I have CI/CD pipeline with automated builds test execution and deployment to staging and production environments
ETD-1505,Story,Production Deployment,ETD-EPIC-004,13,High,DevOps,As a DevOps Engineer I have production infrastructure with load balancing auto-scaling monitoring logging and backup strategy
ETD-1506,Story,Monitoring & Alerting,ETD-EPIC-004,8,High,DevOps,As a DevOps Engineer I have monitoring and alerting for application metrics errors performance and uptime